,Unnamed: 0,checking_balance,credit_history,savings_balance,employment_duration,percent_of_income,years_at_residence,age,existing_loans_count,dependents,default,purpose_business,purpose_car,purpose_education,purpose_furniture/appliances,purpose_renovations,other_credit_bank,other_credit_none,other_credit_store,housing_other,housing_own,housing_rent,job_management,job_skilled,job_unemployed,job_unskilled,phone_no,phone_yes,amount_per_duration
0,0,1.0,0.0,4.0,3.0,0.8560718714877069,0.9743938655526208,2.2828794357591247,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,3.6305679536239386
1,1,0.0,1.0,2.0,0.0,-0.7189462043616851,-0.6327891776749888,-1.4387766389488574,-0.7325582680165651,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.233269244402782
2,2,3.0,0.0,2.0,1.0,-0.7189462043616851,0.27232937388945866,1.2272170182261861,-0.7325582680165651,2.334868926348074,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2.981837831867061
3,3,1.0,1.0,2.0,1.0,-0.7189462043616851,0.9743938655526208,0.9409496659236648,-0.7325582680165651,2.334868926348074,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,2.3855321559792606
4,4,1.0,3.0,2.0,0.0,0.16805797696524175,0.9743938655526208,1.491441152982199,1.1247212753708395,2.334868926348074,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2.6378944065523915
5,5,3.0,1.0,4.0,0.0,-0.7189462043616851,0.9743938655526208,0.09939050265205127,-0.7325582680165651,2.334868926348074,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2.5232317712176884
6,6,3.0,1.0,1.0,3.0,0.16805797696524175,0.9743938655526208,1.491441152982199,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.4698529300916863
7,7,0.0,1.0,2.0,0.0,-0.7189462043616851,-0.6327891776749888,0.09939050265205127,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,2.449890376166504
8,8,3.0,1.0,3.0,1.0,-0.7189462043616851,0.9743938655526208,1.9657415667042326,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,3.129172968502472
9,9,0.0,0.0,2.0,4.0,0.8560718714877069,-0.6327891776749888,-0.6429508548224555,1.1247212753708395,-0.42828956637154025,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2.493638331593171
10,10,0.0,1.0,2.0,2.0,0.16805797696524175,-1.9084821266066496,-1.01785597577039,-0.7325582680165651,-0.42828956637154025,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2.7942219818348577
11,11,1.0,1.0,2.0,2.0,0.16805797696524175,0.9743938655526208,-1.152509286646336,-0.7325582680165651,-0.42828956637154025,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2.150269153403229
12,12,0.0,1.0,2.0,0.0,-1.9691083823833906,-1.9084821266066496,-1.4387766389488574,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.868499598055197
13,13,1.0,0.0,2.0,3.0,0.8560718714877069,0.9743938655526208,1.9099156319896964,1.1247212753708395,-0.42828956637154025,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2.202656213389779
14,14,1.0,1.0,2.0,0.0,-0.7189462043616851,0.9743938655526208,-0.6429508548224555,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2.61383180507614
15,15,1.0,1.0,0.0,0.0,0.8560718714877069,-0.6327891776749888,-0.19933863951675831,-0.7325582680165651,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2.223433507227227
16,16,3.0,0.0,4.0,3.0,0.8560718714877069,0.9743938655526208,1.491441152982199,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.4212138732287687
17,17,1.0,2.0,4.0,2.0,-0.7189462043616851,0.27232937388945866,-1.01785597577039,2.442482082600276,-0.42828956637154025,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2.619776925098886
18,18,0.0,1.0,2.0,3.0,0.8560718714877069,-0.6327891776749888,0.8654912583330046,-0.7325582680165651,-0.42828956637154025,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2.932658494411152
19,19,3.0,1.0,1.0,3.0,0.16805797696524175,-0.6327891776749888,-0.3049844931357204,-0.7325582680165651,2.334868926348074,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.5290217721249855
20,20,3.0,0.0,2.0,0.0,0.8560718714877069,0.9743938655526208,1.1578566927693275,2.442482082600276,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3.3293978793610424
21,21,1.0,1.0,1.0,0.0,-0.7189462043616851,0.27232937388945866,0.8654912583330046,-0.7325582680165651,2.334868926348074,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,4.0503205766634105
22,22,1.0,0.0,2.0,2.0,-1.9691083823833906,0.27232937388945866,1.1578566927693275,1.1247212753708395,2.334868926348074,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3.217456446556346
23,23,0.0,0.0,0.0,2.0,0.16805797696524175,0.9743938655526208,0.8654912583330046,-0.7325582680165651,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2.9233777458233594
24,24,3.0,0.0,4.0,0.0,-0.7189462043616851,-1.9084821266066496,-0.8882851518903232,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3.1841690389376054
25,25,1.0,1.0,2.0,0.0,-1.9691083823833906,-0.6327891776749888,0.1934571906955732,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,3.713536831908092
26,26,3.0,2.0,2.0,3.0,0.8560718714877069,0.9743938655526208,0.46111626254523286,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,3.1125712644897967
27,27,2.0,4.0,3.0,0.0,0.16805797696524175,0.27232937388945866,0.7094089564688949,1.1247212753708395,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,2.3455266834790014
28,28,0.0,1.0,2.0,0.0,0.16805797696524175,-0.6327891776749888,0.0026737030614956935,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3.74613491310836
29,29,1.0,3.0,2.0,3.0,0.16805797696524175,0.9743938655526208,2.0747418117368004,1.1247212753708395,-0.42828956637154025,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2.1479871700440776
30,30,0.0,1.0,3.0,2.0,0.16805797696524175,0.27232937388945866,0.1934571906955732,-0.7325582680165651,-0.42828956637154025,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2.566516278816634
31,31,1.0,1.0,2.0,0.0,-0.7189462043616851,-0.6327891776749888,-0.7634270526194575,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,2.5783181329267637
32,32,0.0,1.0,0.0,0.0,-0.7189462043616851,-0.6327891776749888,-0.4139847381682897,1.1247212753708395,-0.42828956637154025,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2.9469446540822233
33,33,3.0,0.0,4.0,3.0,0.8560718714877069,0.9743938655526208,1.7367754500500652,-0.7325582680165651,-0.42828956637154025,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2.784783013505846
34,34,2.0,1.0,2.0,2.0,0.8560718714877069,-1.9084821266066496,-0.09684686911339761,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2.844661726964851
35,35,0.0,0.0,2.0,2.0,0.8560718714877069,-0.6327891776749888,-1.01785597577039,1.1247212753708395,-0.42828956637154025,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2.211037086501248
36,36,3.0,0.0,2.0,0.0,-1.9691083823833906,0.27232937388945866,-0.3049844931357204,-0.7325582680165651,-0.42828956637154025,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2.240043228390374
37,37,2.0,1.0,2.0,0.0,0.8560718714877069,-0.6327891776749888,0.28501513230761544,-0.7325582680165651,-0.42828956637154025,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,2.5981753247305317
38,38,2.0,1.0,2.0,0.0,-0.7189462043616851,-0.6327891776749888,0.28501513230761544,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.9657309045848956
39,39,0.0,1.0,2.0,0.0,0.8560718714877069,0.27232937388945866,-1.152509286646336,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2.661812685537261
40,40,3.0,1.0,1.0,3.0,0.8560718714877069,-0.6327891776749888,-0.4139847381682897,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2.258406438648699
41,41,0.0,1.0,1.0,0.0,0.16805797696524175,-1.9084821266066496,-0.8882851518903232,-0.7325582680165651,-0.42828956637154025,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,2.7506636038702186
