,Unnamed: 0,checking_balance,months_loan_duration,credit_history,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,existing_loans_count,dependents,default,purpose_business,purpose_car,purpose_education,purpose_furniture/appliances,purpose_renovations,other_credit_bank,other_credit_none,other_credit_store,housing_other,housing_own,housing_rent,job_management,job_skilled,job_unemployed,job_unskilled,phone_no,phone_yes
0,0,1.0,6,0.0,1169,4.0,3.0,4,4,67,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,1,0.0,48,1.0,5951,2.0,0.0,2,2,22,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
2,2,3.0,12,0.0,2096,2.0,1.0,2,3,49,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
3,3,1.0,42,1.0,7882,2.0,1.0,2,4,45,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
4,4,1.0,24,3.0,4870,2.0,0.0,3,4,53,2,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
5,5,3.0,36,1.0,9055,4.0,0.0,2,4,35,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
6,6,3.0,24,1.0,2835,1.0,3.0,3,4,53,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
7,7,0.0,36,1.0,6948,2.0,0.0,2,2,35,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
8,8,3.0,12,1.0,3059,3.0,1.0,2,4,61,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
9,9,0.0,30,0.0,5234,2.0,4.0,4,2,28,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
10,10,0.0,12,1.0,1295,2.0,2.0,3,1,25,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
11,11,1.0,48,1.0,4308,2.0,2.0,3,4,24,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
12,12,0.0,12,1.0,1567,2.0,0.0,1,1,22,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
13,13,1.0,24,0.0,1199,2.0,3.0,4,4,60,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
14,14,1.0,15,1.0,1403,2.0,0.0,2,4,28,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
15,15,1.0,24,1.0,1282,0.0,0.0,4,2,32,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
16,16,3.0,24,0.0,2424,4.0,3.0,4,4,53,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
17,17,1.0,30,2.0,8072,4.0,2.0,2,3,25,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
18,18,0.0,24,1.0,12579,2.0,3.0,4,2,44,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
19,19,3.0,24,1.0,3430,1.0,3.0,3,2,31,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
20,20,3.0,9,0.0,2134,2.0,0.0,4,4,48,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
21,21,1.0,6,1.0,2647,1.0,0.0,2,3,44,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
22,22,1.0,10,0.0,2241,2.0,2.0,1,3,48,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
23,23,0.0,12,0.0,1804,0.0,2.0,3,4,44,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
24,24,3.0,10,0.0,2069,4.0,0.0,2,1,26,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
25,25,1.0,6,1.0,1374,2.0,0.0,1,2,36,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
26,26,3.0,6,2.0,426,2.0,3.0,4,4,39,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
27,27,2.0,12,4.0,409,3.0,0.0,3,3,42,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
28,28,0.0,7,1.0,2415,2.0,0.0,3,2,34,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
29,29,1.0,60,3.0,6836,2.0,3.0,3,4,63,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
30,30,0.0,18,1.0,1913,3.0,2.0,3,3,36,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
31,31,1.0,24,1.0,4020,2.0,0.0,2,2,27,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
32,32,0.0,18,1.0,5866,0.0,0.0,2,2,30,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
33,33,3.0,12,0.0,1264,4.0,3.0,4,4,57,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
34,34,2.0,12,1.0,1474,2.0,2.0,4,1,33,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
35,35,0.0,45,0.0,4746,2.0,2.0,4,2,25,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
36,36,3.0,48,0.0,6110,2.0,0.0,1,3,31,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
37,37,2.0,18,1.0,2100,2.0,0.0,4,2,37,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
38,38,2.0,10,1.0,1225,2.0,0.0,2,2,37,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
39,39,0.0,9,1.0,458,2.0,0.0,4,3,24,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
40,40,3.0,30,1.0,2333,1.0,3.0,4,2,30,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
41,41,0.0,12,1.0,1158,1.0,0.0,3,1,26,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
42,42,0.0,18,3.0,6204,2.0,0.0,2,4,44,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
43,43,1.0,30,0.0,6187,0.0,1.0,1,4,24,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
44,44,1.0,48,0.0,6143,2.0,3.0,4,4,58,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
45,45,3.0,11,0.0,1393,2.0,2.0,4,4,35,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
46,46,3.0,36,1.0,2299,1.0,3.0,4,4,39,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
47,47,1.0,6,1.0,1352,1.0,4.0,1,2,23,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
48,48,3.0,11,0.0,7228,2.0,0.0,1,4,39,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
49,49,3.0,12,1.0,2073,0.0,0.0,4,2,28,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
50,50,0.0,24,3.0,2333,4.0,2.0,4,2,29,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
51,51,0.0,27,3.0,5965,2.0,3.0,1,2,30,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
52,52,3.0,12,1.0,1262,2.0,0.0,3,2,25,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
53,53,3.0,18,1.0,3378,4.0,0.0,2,1,31,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
54,54,0.0,36,3.0,2225,2.0,3.0,4,4,57,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
55,55,3.0,6,4.0,783,4.0,0.0,1,2,26,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
56,56,0.0,12,1.0,6468,4.0,4.0,2,1,52,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
57,57,3.0,36,0.0,9566,2.0,0.0,2,2,31,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
58,58,2.0,18,1.0,1961,2.0,3.0,3,2,23,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
59,59,1.0,36,0.0,6229,2.0,2.0,4,4,23,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
60,60,0.0,9,1.0,1391,2.0,0.0,2,1,27,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
61,61,0.0,15,0.0,1537,4.0,3.0,4,4,50,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
62,62,0.0,36,2.0,1953,2.0,3.0,4,4,61,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
63,63,0.0,48,2.0,14421,2.0,0.0,2,2,25,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
64,64,3.0,24,1.0,3181,2.0,2.0,4,4,26,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
65,65,3.0,27,1.0,5190,4.0,3.0,4,4,48,4,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
66,66,3.0,12,1.0,2171,2.0,2.0,2,2,29,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
67,67,0.0,12,1.0,1007,3.0,0.0,4,1,22,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
68,68,3.0,36,1.0,1819,2.0,0.0,4,4,37,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
69,69,3.0,36,1.0,2394,4.0,0.0,4,4,25,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
70,70,3.0,36,1.0,8133,2.0,0.0,1,2,30,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
71,71,3.0,7,0.0,730,4.0,3.0,4,2,46,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
72,72,1.0,8,0.0,1164,2.0,3.0,3,4,51,2,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
73,73,0.0,42,0.0,5954,2.0,1.0,2,1,41,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
74,74,1.0,36,1.0,1977,4.0,3.0,4,4,40,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
75,75,1.0,12,0.0,1526,2.0,3.0,4,4,66,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
76,76,1.0,42,1.0,3965,2.0,2.0,4,3,34,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
77,77,0.0,11,3.0,4771,2.0,1.0,2,4,51,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
78,78,3.0,54,2.0,9436,4.0,0.0,2,2,39,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
79,79,0.0,30,1.0,3832,2.0,2.0,2,1,22,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
80,80,3.0,24,1.0,5943,4.0,2.0,1,1,44,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
81,81,3.0,15,1.0,1213,1.0,3.0,4,3,47,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
82,82,3.0,18,1.0,1568,0.0,0.0,3,4,24,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
83,83,1.0,24,1.0,1755,2.0,3.0,4,4,58,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
84,84,1.0,10,1.0,2315,2.0,3.0,3,4,52,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
85,85,3.0,12,0.0,1412,2.0,0.0,4,2,29,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
86,86,0.0,18,0.0,1295,2.0,2.0,4,1,27,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
87,87,0.0,36,1.0,12612,0.0,0.0,1,4,47,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
88,88,1.0,18,1.0,2249,0.0,1.0,4,3,30,1,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
89,89,1.0,12,2.0,1108,2.0,1.0,4,3,28,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
90,90,3.0,12,0.0,618,2.0,3.0,4,4,56,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
91,91,1.0,12,0.0,1409,2.0,3.0,4,3,54,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
92,92,3.0,12,0.0,797,4.0,3.0,4,3,33,1,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
93,93,2.0,24,0.0,3617,4.0,3.0,4,4,20,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
94,94,0.0,12,1.0,1318,3.0,3.0,4,4,54,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
95,95,0.0,54,2.0,15945,2.0,2.0,3,4,58,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
96,96,3.0,12,0.0,2012,4.0,1.0,4,2,61,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
97,97,0.0,18,1.0,2622,0.0,0.0,4,4,34,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
98,98,0.0,36,0.0,2337,2.0,3.0,4,4,36,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
99,99,0.0,20,3.0,7057,4.0,1.0,3,4,36,2,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
100,100,3.0,24,1.0,1469,0.0,3.0,4,4,41,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
101,101,0.0,36,1.0,2323,2.0,1.0,4,4,24,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
102,102,3.0,6,3.0,932,2.0,0.0,3,2,24,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
103,103,0.0,9,0.0,1919,2.0,1.0,4,3,35,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
104,104,3.0,12,1.0,2445,4.0,2.0,2,4,26,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
105,105,0.0,24,0.0,11938,2.0,0.0,2,3,39,2,2,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
106,106,3.0,18,4.0,6458,2.0,3.0,2,4,39,2,2,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
107,107,0.0,12,1.0,6078,2.0,1.0,2,2,32,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
108,108,1.0,24,1.0,7721,4.0,2.0,1,2,30,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
109,109,0.0,14,1.0,1410,1.0,3.0,1,2,35,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
110,110,0.0,6,3.0,1449,0.0,3.0,1,2,31,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
111,111,2.0,15,1.0,392,2.0,2.0,4,4,23,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
112,112,0.0,18,1.0,6260,2.0,1.0,3,3,28,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
113,113,3.0,36,0.0,7855,2.0,0.0,4,2,25,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
114,114,1.0,12,1.0,1680,1.0,3.0,3,1,35,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
115,115,3.0,48,0.0,3578,4.0,3.0,4,1,47,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
116,116,1.0,42,1.0,7174,4.0,1.0,4,3,30,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
